,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
0,113,GR,5,F,,,,,,Y,,
1,168,EN,6,F,N,N,N,N,N,Y,N,N
2,169,SI,6,F,,,Y,,,,,
3,170,GR,5,M,,,,,,,,Y
4,171,GM,2,F,,,,,,Y,,
5,172,EN,6,M,,,,Y,,,,
6,252,GR,5,F,,,,,,Y,,
7,253,GR,5,F,N,N,N,N,N,Y,N,N
8,284,LA,6,F,N,N,Y,N,N,N,N,N
9,285,LW,5,F,N,N,Y,N,N,N,N,N
10,286,BU,6,F,N,N,Y,N,N,N,Y,N
11,287,UG,1,F,N,N,N,Y,N,N,N,N
12,288,SW,4,F,N,N,N,N,N,Y,N,N
13,289,BU,6,M,N,N,N,N,N,Y,N,N
14,290,LW,5,M,N,N,N,N,N,Y,N,N
15,291,SW,4,F,,,,Y,,,,
16,292,BU,6,M,N,N,Y,N,N,N,N,N
17,293,PM,2,M,N,N,N,N,N,Y,N,N
18,294,LW,5,M,N,N,N,N,N,Y,N,N
19,296,UG,1,M,,,,,,Y,,
20,310,GR,5,F,N,N,Y,N,N,N,Y,N
21,336,GR,5,F,,,,,,,Y,
22,343,GR,5,M,,,,,,Y,,
23,373,GR,6,M,,,,,,,Y,
24,484,GR,5,M,,,,,,Y,,
25,505,GR,6,F,N,N,Y,N,N,N,Y,N
26,506,GR,5,F,N,N,Y,N,N,N,N,N
27,508,GR,5,F,,,,,,,Y,
28,509,GR,5,M,,,,,,,Y,
29,512,LW,1,F,,,,,,Y,,
30,513,GA,4,F,N,N,Y,N,N,N,N,N
31,514,LA,6,F,N,N,Y,N,N,N,N,N
32,515,SI,2,M,,,,,,,Y,
33,516,LW,3,F,N,N,N,N,N,Y,N,N
34,517,LW,5,M,,,,,,Y,,
35,518,GA,6,F,N,N,N,N,N,Y,N,N
36,519,BU,6,M,N,N,Y,N,N,N,Y,N
37,520,GR,4,F,N,N,Y,N,N,N,Y,N
39,522,BU,6,M,N,N,Y,N,N,N,Y,N
41,524,LW,5,M,N,N,Y,N,N,N,N,N
42,525,UG,3,F,,,,Y,,,,
43,527,LA,6,M,N,N,N,N,N,N,N,Y
44,528,SI,2,M,N,N,Y,N,N,N,N,N
45,530,LW,3,F,,,,,,Y,,
46,531,GR,3,F,N,N,Y,N,N,N,Y,N
47,532,GA,5,M,N,N,N,N,N,Y,N,N
48,533,FA,6,F,N,N,Y,Y,N,N,N,N
52,537,UG,0,M,N,N,N,N,N,Y,N,N
53,538,EN,6,M,N,N,Y,N,N,N,N,N
54,539,LW,5,M,N,N,N,N,N,Y,N,N
55,540,BU,6,M,N,N,N,N,N,Y,N,N
56,543,GB,2,M,,,Y,,,,,
57,546,GR,5,M,,,,,,,,Y
