date,num,product_list,id,dateandtime,previous_list,match,previous_dateandtime,timediff,timediffstamp,log_timediff,newid,asian,female,stdtlevel,previous_id,previous_newid,previous_asian,previous_female,freshmen,previous_freshmen,staff,previous_staff,month,week,week_order,newid_former,pair_occurance
8/25/13,7345,['burrito'],4650,8/25/13 11:42,['taco salad'],0,8/25/13 11:41,0 days 00:00:56.000000000,56,4.025351691,3923,0,0,7,7135,6130,1,1,0,1,0,0,8,34,0,,0
8/25/13,7348,['burrito'],3412,8/25/13 11:43,['burrito'],1,8/25/13 11:43,0 days 00:00:54.000000000,54,3.988984047,2814,1,0,6,3946,3299,0,0,0,0,0,0,8,34,0,3923.0,1
8/25/13,7387,['taco salad'],6495,8/25/13 12:06,['burrito'],0,8/25/13 12:06,0 days 00:00:55.000000000,55,4.007333185,5570,1,0,4,9108,7916,1,0,0,1,0,0,8,34,0,2814.0,1
8/25/13,7390,['burger'],4740,8/25/13 12:09,['burrito'],0,8/25/13 12:09,0 days 00:00:00.000000000,0,#NAME?,4004,1,0,4,9583,8366,0,0,0,1,0,0,8,34,0,5570.0,1
8/25/13,7394,['quesadilla vegetable'],4910,8/25/13 12:12,['taco salad'],0,8/25/13 12:11,0 days 00:00:32.000000000,32,3.465735903,4120,1,0,4,4910,4120,1,0,0,0,0,0,8,34,0,4004.0,1
8/25/13,7396,['quesadilla vegetable'],8320,8/25/13 12:12,['quesadilla vegetable'],1,8/25/13 12:12,0 days 00:00:57.000000000,57,4.043051268,7141,0,1,1,4910,4120,1,0,1,0,0,0,8,34,0,4120.0,1
8/25/13,7397,['rice'],8748,8/25/13 12:13,['quesadilla vegetable'],0,8/25/13 12:12,0 days 00:00:05.000000000,5,1.609437912,7561,1,1,2,8320,7141,0,1,1,1,0,0,8,34,0,7141.0,1
8/25/13,7407,['taco salad'],8015,8/25/13 12:18,['taco salad'],1,8/25/13 12:17,0 days 00:00:43.000000000,43,3.761200116,6841,0,0,2,8006,6833,1,0,1,1,0,0,8,34,0,7561.0,1
8/25/13,7411,['taco salad'],7948,8/25/13 12:20,['taco salad'],1,8/25/13 12:20,0 days 00:00:12.000000000,12,2.48490665,6776,0,1,1,8852,7662,0,1,1,1,0,0,8,34,0,6841.0,1
8/25/13,7413,['taco salad'],8260,8/25/13 12:21,['taco salad'],1,8/25/13 12:20,0 days 00:00:44.000000000,44,3.784189634,7081,0,1,2,7948,6776,0,1,1,1,0,0,8,34,0,6776.0,1
8/25/13,7415,['taco salad'],8631,8/25/13 12:22,['taco salad'],1,8/25/13 12:21,0 days 00:00:39.000000000,39,3.663561646,7446,1,1,1,8260,7081,0,1,1,1,0,0,8,34,0,7081.0,4
8/25/13,7416,['taco salad'],9944,8/25/13 12:22,['taco salad'],1,8/25/13 12:22,0 days 00:00:47.000000000,47,3.850147602,8688,0,0,1,8631,7446,1,1,1,1,0,0,8,34,0,7446.0,1
8/25/13,7419,['quesadilla vegetable'],8583,8/25/13 12:23,['taco salad'],0,8/25/13 12:22,0 days 00:00:15.000000000,15,2.708050201,7399,0,1,2,9944,8688,0,0,1,1,0,0,8,34,0,8688.0,1
8/25/13,7420,['quesadilla vegetable'],9445,8/25/13 12:23,['quesadilla vegetable'],1,8/25/13 12:23,0 days 00:00:33.000000000,33,3.496507561,8244,0,1,1,8583,7399,0,1,1,1,0,0,8,34,0,7399.0,1
8/25/13,7421,['quesadilla vegetable'],8825,8/25/13 12:24,['quesadilla vegetable'],1,8/25/13 12:23,0 days 00:00:29.000000000,29,3.36729583,7637,0,1,2,9445,8244,0,1,1,1,0,0,8,34,0,8244.0,1
8/25/13,7424,['taco salad'],8294,8/25/13 12:26,['taco salad'],1,8/25/13 12:26,0 days 00:00:20.000000000,20,2.995732274,7115,0,1,1,9920,8667,0,0,1,0,0,0,8,34,0,7637.0,1
8/25/13,7425,['quesadilla vegetable'],3755,8/25/13 12:26,['taco salad'],0,8/25/13 12:26,0 days 00:00:11.000000000,11,2.397895273,3122,0,1,6,8294,7115,0,1,0,1,0,0,8,34,0,7115.0,1
