id,terminal,num,datetime,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr,date,product,quantity,price
NA,NA,3463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Berry Cup,1,2.4
NA,NA,3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Berry Cup,1,2.4
NA,NA,3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Berry Cup,-1,-2.4
NA,NA,3469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Milk Chug,1,1.7
NA,NA,3475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Large Salad,1,5.35
NA,NA,3475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Side Chicken,1,1.6
NA,NA,3480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Yogurt Parfait,1,2.9
NA,NA,3480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
NA,NA,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,4
NA,NA,3486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Cup,1,1.95
NA,NA,3488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,4,11.96
NA,NA,3489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Whole fruit,1,0.85
NA,NA,3490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,6.05
NA,NA,3491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
